Altium Designer Pick and Place Locations
C:\Dott\LIDO\lido-hardware\LIDO_HW_2022_04_V01\Output Documents\04_Fabrication_Files\PickAndPlace\LIDO_V03_DEVELOPMENT_04_07_2022.txt

========================================================================================================================
File Design Information:

Date:       02/07/22
Time:       21:35
Revision:   872b464fc55dbc7c29d34195fc9c3aeae9c73039
Variant:    DEVELOPMENT
Units used: mm

Designator Layer       Footprint                                     Center-X(mm) Center-Y(mm) Rotation Description                                                                                               "Manufacturer Part Number"         Manufacturer                        
R316       TopLayer    RES_0603_1608X60-N_YAGEO_A                    57.2000      22.6000      180      "RES 4.7K OHM 5% 1/10W 0603"                                                                              RC0603JR-074K7L                    YAGEO                               
R315       TopLayer    RES_0603_1608X60-N_YAGEO_A                    56.6000      24.0000      180      "RES 4.7K OHM 5% 1/10W 0603"                                                                              RC0603JR-074K7L                    YAGEO                               
R314       TopLayer    RES_0603_1608X60-N_YAGEO_A                    49.5500      22.1000      180      "RES 10K OHM 1% 1/10W 0603"                                                                               RC0603FR-0710KL                    YAGEO                               
R312       BottomLayer RES_0603_1608X60-N_YAGEO_A                    50.6500      26.8000      0        "RES 0 OHM JUMPER 1/10W 0603"                                                                             RC0603JR-070RL                     YAGEO                               
R311       BottomLayer RES_0603_1608X60-N_YAGEO_A                    47.3000      41.8000      180      "RES 10K OHM 1% 1/10W 0603"                                                                               RC0603FR-0710KL                    YAGEO                               
R310       BottomLayer RES_0603_1608X60-N_YAGEO_A                    54.5000      42.7000      180      "RES 10K OHM 1% 1/10W 0603"                                                                               RC0603FR-0710KL                    YAGEO                               
R308       BottomLayer RES_0603_1608X60-N_YAGEO_A                    46.2000      38.6000      0        "RES 0 OHM JUMPER 1/10W 0603"                                                                             RC0603JR-070RL                     YAGEO                               
R307       TopLayer    RES_0603_1608X60-N_YAGEO_A                    52.3000      39.3000      0        "RES 10K OHM 1% 1/10W 0603"                                                                               RC0603FR-0710KL                    YAGEO                               
R306       TopLayer    RES_0603_1608X60-N_YAGEO_A                    55.1000      40.8000      90       "RES SMD 62 OHM 1% 1/10W 0603"                                                                            ERJ-3EKF62R0V                      "Panasonic Electronic Components"   
R305       TopLayer    RES_0603_1608X60-N_YAGEO_A                    57.9000      40.8000      90       "RES SMD 62 OHM 1% 1/10W 0603"                                                                            ERJ-3EKF62R0V                      "Panasonic Electronic Components"   
R302       BottomLayer RES_0603_1608X60-N_YAGEO_A                    42.7000      34.9000      90       "RES 33 OHM 5% 1/10W 0603"                                                                                RC0603JR-0733RL                    YAGEO                               
R300       BottomLayer RES_0603_1608X60-N_YAGEO_A                    57.3000      29.1000      180      "RES 10K OHM 1% 1/10W 0603"                                                                               RC0603FR-0710KL                    YAGEO                               
R264       BottomLayer RES_0603_1608X60-N_YAGEO_A                    37.2125      27.9000      0        "RES 10K OHM 1% 1/10W 0603"                                                                               RC0603FR-0710KL                    YAGEO                               
R263       BottomLayer RES_0603_1608X60-N_YAGEO_A                    35.1000      28.2250      270      "RES 10K OHM 1% 1/10W 0603"                                                                               RC0603FR-0710KL                    YAGEO                               
R262       BottomLayer RES_0603_1608X60-N_YAGEO_A                    41.5750      19.8503      180      "RES 33 OHM 5% 1/10W 0603"                                                                                RC0603JR-0733RL                    YAGEO                               
R261       BottomLayer RES_0603_1608X60-N_YAGEO_A                    40.0562      27.9000      0        "RES 10K OHM 1% 1/10W 0603"                                                                               RC0603FR-0710KL                    YAGEO                               
R260       BottomLayer RES_0603_1608X60-N_YAGEO_A                    19.9000      11.2000      180      "RES 10K OHM 1% 1/10W 0603"                                                                               RC0603FR-0710KL                    YAGEO                               
R259       TopLayer    RES_0603_1608X60-N_YAGEO_A                    31.6000      12.8000      0        "RES 33 OHM 5% 1/10W 0603"                                                                                RC0603JR-0733RL                    YAGEO                               
R258       BottomLayer RES_0603_1608X60-N_YAGEO_A                    7.5000       1.6500       180      "RES SMD 5.1K OHM 1% 1/10W 0603"                                                                          ERJ-3EKF5101V                      "Panasonic Electronic Components"   
R257       TopLayer    RES_0603_1608X60-N_YAGEO_A                    12.6000      1.8000       180      "RES 1K OHM 5% 1/10W 0603"                                                                                RC0603JR-071KL                     YAGEO                               
R256       BottomLayer RES_0603_1608X60-N_YAGEO_A                    3.3995       10.1997      90       "RES 31.6K OHM 1% 1/10W 0603"                                                                             RC0603FR-0731K6L                   YAGEO                               
R255       TopLayer    RES_0603_1608X60-N_YAGEO_A                    15.5000      3.3000       0        "RES SMD 5.1K OHM 1% 1/10W 0603"                                                                          ERJ-3EKF5101V                      "Panasonic Electronic Components"   
R254       BottomLayer RES_0603_1608X60-N_YAGEO_A                    4.7997       10.1997      90       "RES 0 OHM JUMPER 1/10W 0603"                                                                             RC0603JR-070RL                     YAGEO                               
R253       BottomLayer RES_0603_1608X60-N_YAGEO_A                    10.2000      18.4000      90       "RES 10K OHM 1% 1/10W 0603"                                                                               RC0603FR-0710KL                    YAGEO                               
R252       BottomLayer RES_0603_1608X60-N_YAGEO_A                    20.5500      21.5503      0        "RES 0 OHM JUMPER 1/10W 0603"                                                                             RC0603JR-070RL                     YAGEO                               
