Altium Designer Pick and Place Locations
C:\Dott\LIDO\lido-hardware\LIDO_HW_2022_04_V01\Output Documents\04_Fabrication_Files\PickAndPlace\LIDO_V03_DEVELOPMENT_04_07_2022.txt

========================================================================================================================
File Design Information:

Date:       02/07/22
Time:       21:35
Revision:   872b464fc55dbc7c29d34195fc9c3aeae9c73039
Variant:    DEVELOPMENT
Units used: mm

Designator Layer       Footprint                                     Center-X(mm) Center-Y(mm) Rotation Description                                                                                               "Manufacturer Part Number"         Manufacturer                        
C303       BottomLayer CAP_0603_1608X90-N_MURATA_A                   64.8750      35.8000      90       "CAP CER 100PF 100V C0G 0603"                                                                             CGA3E2C0G2A101J080AA               "TDK Corporation"                   
C302       BottomLayer CAP_0603_1608X90-N_MURATA_A                   62.0748      34.1000      90       "CAP CER 100PF 100V C0G 0603"                                                                             CGA3E2C0G2A101J080AA               "TDK Corporation"                   
C301       BottomLayer CAP_0603_1608X90-N_MURATA_A                   55.4000      37.5000      90       "CAP CER 1UF 25V X7R 0603"                                                                                CGA3E1X7R1E105M080AE               "TDK Corporation"                   
C225       BottomLayer CAP_0603_1608X90-N_MURATA_A                   41.0313      25.7063      270      "CAP CER 1UF 25V X7R 0603"                                                                                CGA3E1X7R1E105M080AE               "TDK Corporation"                   
C224       TopLayer    CAP_0603_1608X90-N_MURATA_A                   38.5000      8.7000       0        "CAP CER 1UF 25V X7R 0603"                                                                                CGA3E1X7R1E105M080AE               "TDK Corporation"                   
C223       BottomLayer CAP_0603_1608X90-N_MURATA_A                   7.5000       4.4990       180      "CAP CER 0.1UF 50V X7R 0603"                                                                              CGA3E2X7R1H104K080AA               "TDK Corporation"                   
C222       BottomLayer CAP_0603_1608X90-N_MURATA_A                   7.4000       3.0500       0        "CAP CER 1000PF 100V X7R 0603"                                                                            CGA3E2X7R2A102K080AA               "TDK Corporation"                   
C221       TopLayer    CAP_0603_1608X90-N_MURATA_A                   15.5000      1.8000       180      "CAP CER 0.1UF 50V X7R 0603"                                                                              CGA3E2X7R1H104K080AA               "TDK Corporation"                   
C219       BottomLayer CAP_0603_1608X90-N_MURATA_A                   7.5000       9.7500       180      "CAP CER 0.1UF 50V X7R 0603"                                                                              CGA3E2X7R1H104K080AA               "TDK Corporation"                   
C218       BottomLayer CAP_0603_1608X90-N_MURATA_A                   19.8502      19.3500      270      "CAP CER 10UF 10V X7R 0603"                                                                               GRM188Z71A106KA73D                 "Murata Electronics"                
C217       BottomLayer CAP_0402_1005X60-N_MURATA_A                   16.4500      18.7500      270      "CAP CER 0.1UF 50V X7R 0402"                                                                              GCM155R71H104KE02D                 "Murata Electronics"                
C216       BottomLayer CAP_0402_1005X60-N_MURATA_A                   15.5000      17.2500      0        "CAP CER 0.1UF 50V X7R 0402"                                                                              GCM155R71H104KE02D                 "Murata Electronics"                
C215       BottomLayer CAP_0402_1005X60-N_MURATA_A                   15.5000      16.1500      0        "CAP CER 0.1UF 50V X7R 0402"                                                                              GCM155R71H104KE02D                 "Murata Electronics"                
C214       BottomLayer CAP_0402_1005X60-N_MURATA_A                   17.5500      18.7500      270      "CAP CER 0.1UF 50V X7R 0402"                                                                              GCM155R71H104KE02D                 "Murata Electronics"                
C213       BottomLayer CAP_0402_1005X60-N_MURATA_A                   18.6500      18.7500      270      "CAP CER 0.1UF 50V X7R 0402"                                                                              GCM155R71H104KE02D                 "Murata Electronics"                
C212       BottomLayer CAP_0603_1608X90-N_MURATA_A                   20.2503      15.8498      270      "CAP CER 10UF 10V X7R 0603"                                                                               GRM188Z71A106KA73D                 "Murata Electronics"                
C211       BottomLayer CAP_0402_1005X60-N_MURATA_A                   18.5500      17.2500      180      "CAP CER 0.1UF 50V X7R 0402"                                                                              GCM155R71H104KE02D                 "Murata Electronics"                
C210       BottomLayer CAP_0402_1005X60-N_MURATA_A                   18.5500      16.1500      180      "CAP CER 0.1UF 50V X7R 0402"                                                                              GCM155R71H104KE02D                 "Murata Electronics"                
C209       TopLayer    CAP_0402_1005X60-N_MURATA_A                   11.1497      9.7000       180      "CAP CER 12PF 50V C0G/NP0 0402"                                                                           GJM1555C1H120FB01D                 "Murata Electronics"                
C208       TopLayer    CAP_0402_1005X60-N_MURATA_A                   13.1500      9.7000       0        "CAP CER 12PF 50V C0G/NP0 0402"                                                                           GJM1555C1H120FB01D                 "Murata Electronics"                
C207       TopLayer    CAP_0402_1005X60-N_MURATA_A                   22.7000      20.3500      270      "CAP CER 12PF 50V C0G/NP0 0402"                                                                           GJM1555C1H120FB01D                 "Murata Electronics"                
C206       TopLayer    CAP_0402_1005X60-N_MURATA_A                   22.7000      22.3500      90       "CAP CER 12PF 50V C0G/NP0 0402"                                                                           GJM1555C1H120FB01D                 "Murata Electronics"                
C205       BottomLayer CAP_0603_1608X90-N_MURATA_A                   15.8500      13.9500      180      "CAP CER 10UF 10V X7R 0603"                                                                               GRM188Z71A106KA73D                 "Murata Electronics"                
C204       BottomLayer CAP_0402_1005X60-N_MURATA_A                   16.3500      15.1500      180      "CAP CER 0.1UF 50V X7R 0402"                                                                              GCM155R71H104KE02D                 "Murata Electronics"                
C203       BottomLayer CAP_0402_1005X60-N_MURATA_A                   17.8505      14.6494      90       "CAP CER 0.1UF 50V X7R 0402"                                                                              GCM155R71H104KE02D                 "Murata Electronics"                
C202       BottomLayer CAP_0402_1005X60-N_MURATA_A                   11.9000      18.1000      90       "CAP CER 0.1UF 50V X7R 0402"                                                                              GCM155R71H104KE02D                 "Murata Electronics"                
C201       TopLayer    CAP_0603_1608X90-N_MURATA_A                   9.9000       17.4500      90       "CAP CER 10UF 10V X7R 0603"                                                                               GRM188Z71A106KA73D                 "Murata Electronics"                
C200       TopLayer    CAP_0402_1005X60-N_MURATA_A                   11.2000      17.3500      90       "CAP CER 0.1UF 50V X7R 0402"                                                                              GCM155R71H104KE02D                 "Murata Electronics"                
C173       TopLayer    CAP_0603_1608X90-N_MURATA_A                   58.2000      15.8000      0        "CAP CER 0.047UF 50V X7R 0603"                                                                            GCM188R71H473KA55D                 "Murata Electronics"                
C172       BottomLayer CAP_0603_1608X90-N_MURATA_A                   63.4748      31.1000      90       "CAP CER 0.047UF 50V X7R 0603"                                                                            GCM188R71H473KA55D                 "Murata Electronics"                
C171       BottomLayer CAP_0603_1608X90-N_MURATA_A                   71.3250      18.7500      90       "CAP CER 0.047UF 50V X7R 0603"                                                                            GCM188R71H473KA55D                 "Murata Electronics"                
C170       TopLayer    CAP_0603_1608X90-N_MURATA_A                   61.9000      35.8000      90       "CAP CER 0.047UF 50V X7R 0603"                                                                            GCM188R71H473KA55D                 "Murata Electronics"                
C169       BottomLayer CAP_0603_1608X90-N_MURATA_A                   64.2000      27.1498      0        "CAP CER 0.047UF 50V X7R 0603"                                                                            GCM188R71H473KA55D                 "Murata Electronics"                
C168       TopLayer    CAP_0603_1608X90-N_MURATA_A                   35.1000      17.6000      0        "CAP CER 1UF 25V X7R 0603"                                                                                CGA3E1X7R1E105M080AE               "TDK Corporation"                   
C167       BottomLayer CAP_0603_1608X90-N_MURATA_A                   75.0750      20.3750      90       "CAP CER 0.047UF 50V X7R 0603"                                                                            GCM188R71H473KA55D                 "Murata Electronics"                
C166       TopLayer    CAP_0603_1608X90-N_MURATA_A                   60.4000      16.6000      90       "CAP CER 0.047UF 50V X7R 0603"                                                                            GCM188R71H473KA55D                 "Murata Electronics"                
C165       TopLayer    CAP_0603_1608X90-N_MURATA_A                   48.7000      16.0000      270      "CAP CER 0.047UF 50V X7R 0603"                                                                            GCM188R71H473KA55D                 "Murata Electronics"                
C164       TopLayer    CAP_0603_1608X90-N_MURATA_A                   42.2000      17.6000      180      "CAP CER 1UF 25V X7R 0603"                                                                                CGA3E1X7R1E105M080AE               "TDK Corporation"                   
C163       BottomLayer CAP_2917_7343X140-N_MURATA_A                  39.3000      34.1000      90       "CAP ALUM POLY 22UF 20% 25V SMD"                                                                          ECASD31E226M040KA0                 "Murata Electronics"                
C162       BottomLayer CAP_0603_1608X90-N_MURATA_A                   33.3000      30.5000      180      "CAP CER 1UF 25V X7R 0603"                                                                                CGA3E1X7R1E105M080AE               "TDK Corporation"                   
C161       BottomLayer CAP_0603_1608X90-N_MURATA_A                   29.1250      29.7505      90       "CAP CER 1UF 25V X7R 0603"                                                                                CGA3E1X7R1E105M080AE               "TDK Corporation"                   
C158       BottomLayer CAP_0603_1608X90-N_MURATA_A                   38.8008      13.0000      180      "CAP CER 0.033UF 50V X7R 0603"                                                                            CGA3E2X7R1H333K080AA               "TDK Corporation"                   
C157       BottomLayer CAP_0603_1608X90-N_MURATA_A                   36.6000      9.1000       270      "CAP CER 0.033UF 50V X7R 0603"                                                                            CGA3E2X7R1H333K080AA               "TDK Corporation"                   
C155       BottomLayer CAP_0603_1608X90-N_MURATA_A                   36.6000      15.1000      270      "CAP CER 1UF 25V X7R 0603"                                                                                CGA3E1X7R1E105M080AE               "TDK Corporation"                   
C154       BottomLayer CAP_0603_1608X90-N_MURATA_A                   33.9000      8.3000       0        "CAP CER 1UF 25V X7R 0603"                                                                                CGA3E1X7R1E105M080AE               "TDK Corporation"                   
C153       BottomLayer CAP_0603_1608X90-N_MURATA_A                   50.1250      7.6250       0        "CAP CER 0.033UF 50V X7R 0603"                                                                            CGA3E2X7R1H333K080AA               "TDK Corporation"                   
C152       TopLayer    CAP_0603_1608X90-N_MURATA_A                   45.8074      3.0000       0        "CAP CER 0.033UF 50V X7R 0603"                                                                            CGA3E2X7R1H333K080AA               "TDK Corporation"                   
C151       BottomLayer CAP_0603_1608X90-N_MURATA_A                   51.0000      2.5000       90       "CAP CER 0.033UF 50V X7R 0603"                                                                            CGA3E2X7R1H333K080AA               "TDK Corporation"                   
C150       BottomLayer CAP_0603_1608X90-N_MURATA_A                   21.9000      6.0000       0        "CAP CER 6800PF 50V X7R 0603"                                                                             CGA3E2X7R1H682K080AA               "TDK Corporation"                   
C149       TopLayer    CAP_0603_1608X90-N_MURATA_A                   22.0000      3.9000       0        "CAP CER 6800PF 50V X7R 0603"                                                                             CGA3E2X7R1H682K080AA               "TDK Corporation"                   
C148       TopLayer    CAP_0603_1608X90-N_MURATA_A                   22.0000      5.8000       0        "CAP CER 6800PF 50V X7R 0603"                                                                             CGA3E2X7R1H682K080AA               "TDK Corporation"                   
C147       BottomLayer CAP_0603_1608X90-N_MURATA_A                   21.9000      3.8503       0        "CAP CER 6800PF 50V X7R 0603"                                                                             CGA3E2X7R1H682K080AA               "TDK Corporation"                   
C146       BottomLayer CAP_2917_7343X140-N_MURATA_A                  21.4508      37.2500      90       "CAP ALUM POLY 22UF 20% 25V SMD"                                                                          ECASD31E226M040KA0                 "Murata Electronics"                
C142       BottomLayer CAP_0603_1608X90-N_MURATA_A                   72.5000      7.9503       180      "CAP CER 0.1UF 50V X7R 0603"                                                                              CGA3E2X7R1H104K080AA               "TDK Corporation"                   
C139       BottomLayer CAP_1210_3225X180-N_MURATA_A                  68.2502      5.0500       90       "CAP CER 4.7UF 50V X7R 1210"                                                                              CL32B475KBJVPNE                    "Samsung Electro-Mechanics"         
C137       TopLayer    CAP_1210_3225X180-N_MURATA_A                  2.8495       36.5000      90       "CAP CER 4.7UF 50V X7R 1210"                                                                              CL32B475KBJVPNE                    "Samsung Electro-Mechanics"         
C136       TopLayer    CAP_2917_7343X140-N_MURATA_A                  7.1498       38.0000      90       "CAP ALUM POLY 22UF 20% 25V SMD"                                                                          ECASD31E226M040KA0                 "Murata Electronics"                
C135       TopLayer    CAP_1210_3225X180-N_MURATA_A                  20.5000      40.0000      90       "CAP CER 4.7UF 50V X7R 1210"                                                                              CL32B475KBJVPNE                    "Samsung Electro-Mechanics"         
C133       BottomLayer CAP_0603_1608X90-N_MURATA_A                   12.2500      41.2500      270      "CAP CER 100PF 100V C0G 0603"                                                                             CGA3E2C0G2A101J080AA               "TDK Corporation"                   
C132       TopLayer    CAP_0603_1608X90-N_MURATA_A                   12.6000      40.7000      270      "CAP CER 0.1UF 50V X7R 0603"                                                                              CGA3E2X7R1H104K080AA               "TDK Corporation"                   
C131       TopLayer    CAP_2917_7343X140-N_MURATA_A                  24.8000      38.2000      90       "CAP ALUM POLY 22UF 20% 25V SMD"                                                                          ECASD31E226M040KA0                 "Murata Electronics"                
C130       BottomLayer CAP_2917_7343X140-N_MURATA_A                  27.0000      37.2500      90       "CAP ALUM POLY 22UF 20% 25V SMD"                                                                          ECASD31E226M040KA0                 "Murata Electronics"                
C129       TopLayer    CAPAE_C_530X590L22X7-N_PANASONIC_A            31.0000      39.7500      90       "CAP ALUM POLY 33UF 20% 25V SMD"                                                                          25SVPK33M                          "Panasonic Electronic Components"   
C128       TopLayer    CAPAE_C_530X590L22X7-N_PANASONIC_A            47.4503      39.5000      90       "CAP ALUM POLY 33UF 20% 25V SMD"                                                                          25SVPK33M                          "Panasonic Electronic Components"   
C123       BottomLayer CAP_0603_1608X90-N_MURATA_A                   75.7000      36.0000      90       "CAP CER 100PF 100V C0G 0603"                                                                             CGA3E2C0G2A101J080AA               "TDK Corporation"                   
C122       BottomLayer CAP_0603_1608X90-N_MURATA_A                   68.5750      40.5000      0        "CAP CER 100PF 100V C0G 0603"                                                                             CGA3E2C0G2A101J080AA               "TDK Corporation"                   
C126       BottomLayer CAP_0603_1608X90-N_MURATA_A                   68.5750      37.1250      0        "CAP CER 1000PF 100V X7R 0603"                                                                            CGA3E2X7R2A102K080AA               "TDK Corporation"                   
C125       BottomLayer CAP_0603_1608X90-N_MURATA_A                   71.7000      25.6250      270      "CAP CER 100PF 100V C0G 0603"                                                                             CGA3E2C0G2A101J080AA               "TDK Corporation"                   
C124       BottomLayer CAP_0603_1608X90-N_MURATA_A                   78.3000      36.3000      270      "CAP CER 100PF 100V C0G 0603"                                                                             CGA3E2C0G2A101J080AA               "TDK Corporation"                   
C127       BottomLayer CAP_0603_1608X90-N_MURATA_A                   68.5750      38.8750      0        "CAP CER 100PF 100V C0G 0603"                                                                             CGA3E2C0G2A101J080AA               "TDK Corporation"                   
C119       BottomLayer CAP_0603_1608X90-N_MURATA_A                   74.7500      31.7495      180      "CAP CER 1000PF 100V X7R 0603"                                                                            CGA3E2X7R2A102K080AA               "TDK Corporation"                   
C121       BottomLayer CAP_0603_1608X90-N_MURATA_A                   74.7500      23.1492      180      "CAP CER 1000PF 100V X7R 0603"                                                                            CGA3E2X7R2A102K080AA               "TDK Corporation"                   
C120       BottomLayer CAP_0603_1608X90-N_MURATA_A                   80.5000      36.3000      270      "CAP CER 100PF 100V C0G 0603"                                                                             CGA3E2C0G2A101J080AA               "TDK Corporation"                   
C118       BottomLayer CAP_0603_1608X90-N_MURATA_A                   68.4500      19.8750      180      "CAP CER 100PF 100V C0G 0603"                                                                             CGA3E2C0G2A101J080AA               "TDK Corporation"                   
C117       BottomLayer CAP_0603_1608X90-N_MURATA_A                   68.5750      29.0000      180      "CAP CER 1000PF 100V X7R 0603"                                                                            CGA3E2X7R2A102K080AA               "TDK Corporation"                   
C116       BottomLayer CAP_0603_1608X90-N_MURATA_A                   73.5750      18.7500      270      "CAP CER 1000PF 100V X7R 0603"                                                                            CGA3E2X7R2A102K080AA               "TDK Corporation"                   
C115       BottomLayer CAP_0603_1608X90-N_MURATA_A                   68.4500      22.8750      180      "CAP CER 100PF 100V C0G 0603"                                                                             CGA3E2C0G2A101J080AA               "TDK Corporation"                   
C114       BottomLayer CAP_0603_1608X90-N_MURATA_A                   72.5497      30.9495      270      "CAP CER 1000PF 100V X7R 0603"                                                                            CGA3E2X7R2A102K080AA               "TDK Corporation"                   
C113       BottomLayer CAP_0603_1608X90-N_MURATA_A                   68.4500      21.3750      180      "CAP CER 100PF 100V C0G 0603"                                                                             CGA3E2C0G2A101J080AA               "TDK Corporation"                   
C112       BottomLayer CAP_0603_1608X90-N_MURATA_A                   68.5750      27.5000      180      "CAP CER 100PF 100V C0G 0603"                                                                             CGA3E2C0G2A101J080AA               "TDK Corporation"                   
C111       BottomLayer CAP_0603_1608X90-N_MURATA_A                   68.4500      24.3750      180      "CAP CER 100PF 100V C0G 0603"                                                                             CGA3E2C0G2A101J080AA               "TDK Corporation"                   
C108       BottomLayer CAP_0603_1608X90-N_MURATA_A                   65.2500      1.6250       0        "CAP CER 100PF 100V C0G 0603"                                                                             CGA3E2C0G2A101J080AA               "TDK Corporation"                   
C109       BottomLayer CAP_0603_1608X90-N_MURATA_A                   65.1250      9.6250       270      "CAP CER 100PF 100V C0G 0603"                                                                             CGA3E2C0G2A101J080AA               "TDK Corporation"                   
C106       BottomLayer CAP_0603_1608X90-N_MURATA_A                   62.6000      13.1000      0        "CAP CER 100PF 100V C0G 0603"                                                                             CGA3E2C0G2A101J080AA               "TDK Corporation"                   
C105       BottomLayer CAP_0603_1608X90-N_MURATA_A                   65.6000      13.1000      180      "CAP CER 1000PF 100V X7R 0603"                                                                            CGA3E2X7R2A102K080AA               "TDK Corporation"                   
C110       BottomLayer CAP_0603_1608X90-N_MURATA_A                   58.8758      9.6250       270      "CAP CER 1000PF 100V X7R 0603"                                                                            CGA3E2X7R2A102K080AA               "TDK Corporation"                   
C104       BottomLayer CAP_0603_1608X90-N_MURATA_A                   55.3752      9.6250       90       "CAP CER 100PF 100V C0G 0603"                                                                             CGA3E2C0G2A101J080AA               "TDK Corporation"                   
C103       TopLayer    CAP_0603_1608X90-N_MURATA_A                   50.9000      15.1000      180      "CAP CER 1000PF 100V X7R 0603"                                                                            CGA3E2X7R2A102K080AA               "TDK Corporation"                   
C102       TopLayer    CAP_0603_1608X90-N_MURATA_A                   48.4000      2.3000       270      "CAP CER 100PF 100V C0G 0603"                                                                             CGA3E2C0G2A101J080AA               "TDK Corporation"                   
C107       BottomLayer CAP_0603_1608X90-N_MURATA_A                   57.2000      6.0000       270      "CAP CER 100PF 100V C0G 0603"                                                                             CGA3E2C0G2A101J080AA               "TDK Corporation"                   
C101       BottomLayer CAP_0603_1608X90-N_MURATA_A                   51.0000      9.8750       90       "CAP CER 100PF 100V C0G 0603"                                                                             CGA3E2C0G2A101J080AA               "TDK Corporation"                   
C100       BottomLayer CAP_0603_1608X90-N_MURATA_A                   56.0000      1.6250       0        "CAP CER 100PF 100V C0G 0603"                                                                             CGA3E2C0G2A101J080AA               "TDK Corporation"                   
